Forma Juridica,CP,Polígono Industrial,Grupo de actividad,Subgrupo de actividad,Área de actividad
Sociedad Limitada,28806,Antigua Carretera de Ajalvir,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,Europa,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28806,Antigua Carretera de Ajalvir,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28805,Europa,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,Bañuelos,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,Carretera N II,CON: Construcción,Actividades de construcción especializada,Construcción
,28806,El Pilar,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Santa Rosa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,El Descubrimiento,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Inbisa II,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,Alcalá I,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades profesionales. científicas y técnicas,Servicios
,28806,Camporroso,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Asociación,28805,Parque Tecnológico Tecno Alcalá,OTROS,Actividades asociativas,Otros
,28806,Camporroso,IPF: Productos con destino al mercado final,Artes gráficas,Industria
,28805,Fidalgo y Bazán,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Inbisa II,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Cointra,IPI: Procesos sobre piezas,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Casarrubios,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Limitada,28806,Azque,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Santa Rosa,CON: Construcción,Construcción,Construcción
,28806,El Pilar,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,Herle,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Camporroso,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
Sociedad Limitada,28806,Arrendataria,SMA: Energía y Medioambiente,Suministro de agua. actividades de saneamiento. gestión de residuos y descontaminación,Servicios
,28806,Camporroso,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Azque,IPF: Productos con destino al mercado final,Industria de la madera y el corcho. excepto muebles. cestería y espartería,Industria
,28806,Santa Rosa,SC: Servicios al consumidor final,Actividades de alquiler,Servicios
Sociedad Limitada,28806,Inbisa II,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Información y comunicaciones,Servicios
Sociedad Limitada,28806,Camporroso,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Reparación e instalación de maquinaria y equipo,Servicios
,28802,Los Almendros,EASO: Educación. Asistencia Social. Sanidad y Ocio,Actividades artísticas. recreativas y de entretenimiento,Educación. Asistencia Social. Sanidad y Ocio
,28805,Parque Tecnológico Tecno Alcalá,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades profesionales. científicas y técnicas,Servicios
Sociedad Limitada,28806,Antigua Carretera de Ajalvir,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Limitada,28806,Los Dólmenes,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Camporroso,IPI: Procesos sobre piezas,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
Sociedad Limitada,28806,Inbisa II,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Mapfre,SMA: Energía y Medioambiente,Suministro de agua. actividades de saneamiento. gestión de residuos y descontaminación,Servicios
Sociedad Limitada,28805,Herle,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades administrativas y servicios auxiliares,Servicios
Sociedad Anónima,28806,Casarrubios,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Carretera N II,SC: Servicios al consumidor final,Actividades inmobiliarias,Servicios
Sociedad Limitada,28805,Alcalá I,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Camporroso,EASO: Educación. Asistencia Social. Sanidad y Ocio,Educación,Educación. Asistencia Social. Sanidad y Ocio
,28802,Camarilla,IPF: Productos con destino al mercado final,Artes gráficas,Industria
,28806,La Garena,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28805,Parque Tecnológico Tecno Alcalá,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades profesionales. científicas y técnicas,Servicios
Sociedad Limitada,28805,Herle,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Reparación e instalación de maquinaria y equipo,Servicios
,28805,Parque Tecnológico Tecno Alcalá,IPF: Productos con destino al mercado final,Artes gráficas,Industria
Sociedad Limitada,28805,Europa,CON: Construcción,Actividades de construcción especializada,Construcción
,28806,Santa Rosa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Santa Rosa,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Arrendataria,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28805,Fidalgo y Bazán,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28805,Huerta de San Antonio,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Azque,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Camporroso,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Anónima,28806,El Pilar,EASO: Educación. Asistencia Social. Sanidad y Ocio,Educación,Educación. Asistencia Social. Sanidad y Ocio
,28806,Antigua Carretera de Ajalvir,IPF: Productos con destino al mercado final,Artes gráficas,Industria
,28805,Herle,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,Alcalá II,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28805,Fidalgo y Bazán,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,Huerta de San Antonio,SC: Servicios al consumidor final,Actividades de alquiler,Servicios
